Calculated by ReFED based on data from various sources. See https://insights.refed.com/methodology for more information. Data last updated December 08 2025


year,sector,sub_sector,food_type,cause_group,cause_name,tons_surplus_due_to_cause,us_dollars_surplus_due_to_cause,tons_inedible_parts,tons_not_fit_for_human_consumption
2024,Foodservice,Caterers,Breads & Bakery,Date Label Concerns,Date Label Concerns,432.15245686647677,2019596.3103612373,0.0,0.0
2024,Foodservice,Caterers,Breads & Bakery,Mistakes & Malfunctions,Cooking Issues,52.97047402411538,247549.1512252185,0.0,52.97047402411538
2024,Foodservice,Caterers,Breads & Bakery,Mistakes & Malfunctions,Equipment Issues,9.263380135240531,43290.94523321363,0.0,9.263380135240531
2024,Foodservice,Caterers,Breads & Bakery,Mistakes & Malfunctions,Handling Errors,121.31299681754632,566937.1465526118,0.0,121.31299681754632
2024,Foodservice,Caterers,Breads & Bakery,Other,Other,96.08964440595483,449059.78948570363,0.0,96.08964440595483
2024,Foodservice,Caterers,Breads & Bakery,Spoiled,Spoiled,531.3968127735972,2483399.146211193,0.0,531.3968127735972
2024,Foodservice,Caterers,Breads & Bakery,Trimmings & Byproducts,Trimmings & Byproducts,190.77400823411776,891552.2219546038,190.77400823411776,190.77400823411776
2024,Foodservice,Caterers,Dairy & Eggs,Date Label Concerns,Date Label Concerns,195.78197340112877,783542.693551371,1.731161261149446,0.0
2024,Foodservice,Caterers,Dairy & Eggs,Mistakes & Malfunctions,Cooking Issues,73.4021712488802,293764.2009309474,0.6490433881262848,73.4021712488802
2024,Foodservice,Caterers,Dairy & Eggs,Mistakes & Malfunctions,Equipment Issues,9.855516279767915,39442.945834277816,0.087145346917129,9.855516279767915
2024,Foodservice,Caterers,Dairy & Eggs,Mistakes & Malfunctions,Handling Errors,27.40262026483297,109668.53852617678,0.2423019537108908,27.40262026483297
2024,Foodservice,Caterers,Dairy & Eggs,Other,Other,14.09767328714628,56420.56164990174,0.1246557353727633,14.09767328714628
2024,Foodservice,Caterers,Dairy & Eggs,Spoiled,Spoiled,1790.0402818659343,7163953.655452341,15.82805780343349,1790.0402818659343
2024,Foodservice,Caterers,Dairy & Eggs,Trimmings & Byproducts,Trimmings & Byproducts,31.923302732291734,127760.84628929118,31.923302732291734,31.923302732291734
2024,Foodservice,Caterers,Dry Goods,Date Label Concerns,Date Label Concerns,2585.277690958286,9432108.804624654,0.0,0.0
2024,Foodservice,Caterers,Dry Goods,Mistakes & Malfunctions,Cooking Issues,532.5277229402712,1942870.3701031923,0.0,532.5277229402712
